company,title,title_en,job_category,seniority,remote_type,locations,years_experience_required,salary_hkd_min,salary_hkd_max,salary_estimated_min,salary_estimated_max,salary_estimated_confidence,required_skills,description_summary,source,source_tier,cross_posted,posted_at,apply_url,is_active
HSBC Hong Kong,Investment Counsellor,Investment Counsellor,Finance,senior,on-site,"Central, Hong Kong Island, Hong Kong",,,,100000,130000,medium,"Fixed income portfolio management; Investment advisory; Private banking knowledge; Sales skills; Client relationship management; Compliance awareness; Risk management; Negotiation; Presentation skills; Multilingual (English, Cantonese, Mandarin)",Investment Counsellor responsible for assessing client needs and developing fixed income portfolio strategies. Coordinates with relationship managers and product teams to ensure consistent investment approach. Requires experience in fixed income advisory and private banking knowledge.,eightfold,mainstream,1,2026-07-02T08:08:48+00:00,https://portal.careers.hsbc.com/careers/job/563774611721843,1
HSBC Hong Kong,Investment Counsellor,Investment Counsellor,Finance,senior,on-site,"Central, Hong Kong Island, Hong Kong",,,,100000,150000,medium,"portfolio advisory; investment strategy development; client portfolio monitoring; risk profiling; private banking; regulatory compliance (HKMA, SFC); Chartered Financial Analyst (CFA); relationship management; sales","The Investment Counsellor is responsible for delivering portfolio-oriented investment solutions to HSBC Private Bank clients. This includes assessing client needs, developing investment strategies, monitoring portfolio performance, and coordinating advice with Relationship Managers. The role requires extensive private banking knowledge, regulatory awareness, and relevant qualifications such as CFA or SFC licenses.",eightfold,mainstream,1,2026-07-01T09:34:18+00:00,https://portal.careers.hsbc.com/careers/job/563774611721843,1
HSBC Hong Kong,Investment Counsellor,Investment Counsellor,Finance,senior,on-site,"Central, Hong Kong Island, Hong Kong",,,,80000,120000,medium,Investment Advisory; Portfolio Management; Asset Allocation; Client Relationship Management; Compliance; Regulatory Knowledge; Private Banking; Mandarin Chinese; Financial Markets Knowledge; Product Selection,"Provide investment support, education, and guidance to clients and Relationship Managers. Develop comprehensive investment strategies and asset allocation proposals, monitor portfolios, and ensure compliance with HSBC and regulatory policies. Requires a proven track record in investment advisory, extensive private banking knowledge, and fluency in Mandarin.",eightfold,mainstream,1,2026-06-30T09:51:49+00:00,https://portal.careers.hsbc.com/careers/job/563774611721843,1
HSBC Hong Kong,"Investment Counsellor - Hong Kong Team, Privat Banking","Investment Counsellor - Hong Kong Team, Privat Banking",Finance,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,70000,130000,medium,investment advisory; asset allocation; portfolio management; market research; client relationship management; regulatory compliance; product knowledge; cross-selling; financial analysis,"HSBC Private Bank seeks an Investment Counsellor to provide tailored investment advice, manage client portfolios, and build relationships. The role involves asset allocation, market analysis, and ensuring regulatory compliance. Close collaboration with Relationship Managers and product teams is required.",eightfold,mainstream,0,2026-07-14T06:53:55+00:00,https://portal.careers.hsbc.com/careers/job/563774611863697,1
HSBC Hong Kong,Investment Counsellor Associate,Investment Counsellor Associate,Finance,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,55000,70000,medium,Trade execution; Investment proposal generation; Portfolio optimisation; Client relationship management; Compliance awareness; Microsoft Office; Financial markets knowledge; Multitasking; Analytical skills; Cantonese and Mandarin fluency,"Assists Investment Counsellors in the Global Private Bank with investment solutions, client reviews, trade execution, and administrative tasks. Requires strong organisational and communication skills, financial markets interest, and fluency in Cantonese and Mandarin. Also involves compliance adherence and Microsoft Office proficiency.",eightfold,mainstream,1,2026-06-24T10:07:02+00:00,https://portal.careers.hsbc.com/careers/job/563774611625854,1
HSBC Hong Kong,Investment Risk Manager,Investment Risk Manager,Finance,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,45000,60000,medium,Risk management; Stress testing; Asset class risk assessment; Risk reporting; Governance and control; Product development risk; Model review; Stakeholder engagement,"Responsible for independent oversight and risk assessment of investment funds and mandates. Engages with portfolio managers, conducts stress testing, produces risk reports, and participates in governance forums.",eightfold,mainstream,0,2026-06-15T02:03:04+00:00,https://portal.careers.hsbc.com/careers/job/563774611488696,1
HSBC Hong Kong,Investment Services Manager (Securities Services) - Hang Seng Bank (HK),Investment Services Manager,Operations,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,25000,50000,medium,Agile; Product Management; Securities Trading; Investment Products; Wealth Management; Client Journey Design; Due Diligence; Margin Trading; Fixed Income; Structured Products,The role involves driving the design and management of product platforms for securities customers at Hang Seng Bank's Investments and Wealth Solutions division. The manager will articulate the product vision to Agile development teams and ensure strong value propositions.,eightfold,mainstream,0,2026-06-11T09:35:20+00:00,https://portal.careers.hsbc.com/careers/job/563774611458853,1
HSBC Hong Kong,Lead Consultant Specialist,Lead Consultant Specialist,Engineering,lead,on-site,"Kowloon City, Kowloon, Hong Kong",,,,60000,80000,medium,Payments systems; Cross-border payments; High-value payments; Clearing systems; Digital channels; Risk and controls; Stakeholder management; Regulatory engagement; Technology transformation; Cross-functional delivery,"This role leads cross-border payments technology initiatives at HSBC, managing delivery across business, operations, and technology teams. It involves coordinating with regional and global stakeholders, regulators, and vendors to align strategic priorities and ensure successful project execution within budget and timeline.",eightfold,mainstream,0,2026-06-25T10:05:49+00:00,https://portal.careers.hsbc.com/careers/job/563774611631477,1
HSBC Hong Kong,Life Product Manager   - Hang Seng Insurance - Hang Seng Bank (HK),Life Product Manager,Finance,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,45000,70000,medium,Product development; Product implementation; Distribution channel management; Cross-department collaboration; Actuarial; IT systems; Legal and compliance; UAT testing; Policy provisions; Benefit illustrations,"Hang Seng Insurance seeks a Life Product Manager to drive end-to-end product development across all distribution channels. The role involves cross-department collaboration with actuarial, IT, marketing, and compliance, and preparing product specifications and governance documents. The manager will also engage in work groups and review UAT test plans.",eightfold,mainstream,0,2026-07-10T01:56:11+00:00,https://portal.careers.hsbc.com/careers/job/563774611806705,1
HSBC Hong Kong,Liquidity Investment Specialist - HSBC Global Asset Management,Liquidity Investment Specialist - HSBC Global Asset Management,Finance,mid,hybrid,"Central, Hong Kong Island, Hong Kong",,,,55000,70000,medium,Portfolio Management; Client Facing; Distribution Strategy; Liquidity Investment; Project Management; Analytical Skills; Business Case Development; Mandarin; Cantonese; Sustainable Investment Solutions,"Partnering with portfolio managers and sales teams, the specialist manages liquidity investment solutions and drives growth initiatives. The role focuses on sustainable investment expansion and requires asset management experience, project management skills, and fluency in Mandarin and Cantonese.",eightfold,mainstream,1,2026-05-19T05:12:32+00:00,https://portal.careers.hsbc.com/careers/job/563774611061512,1
HSBC Hong Kong,Main Treasury Officer,Main Treasury Officer,Operations,mid,on-site,"Kowloon Bay, Kowloon, Hong Kong",,,,26000,31000,medium,cash handling; counterfeit detection; cash discrepancy resolution; team supervision; workforce planning; customer enquiry handling; vehicle access control; cash balancing; procedural compliance; ATM operations,"Supervise staff in cash deposit/withdrawal services, foreign currency transactions, and ATM operations. Ensure procedural compliance, plan resourcing, investigate cash discrepancies, and manage vehicle access. Provide clerical support and handle customer enquiries.",eightfold,mainstream,1,2026-06-04T01:50:09+00:00,https://portal.careers.hsbc.com/careers/job/563774611326544,1
HSBC Hong Kong,Manager CX,Manager CX,Operations,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,11500,23000,medium,Customer Experience (CX) Strategy; AI-powered CX Capabilities; Complaint Management; Customer Feedback Loop Management; Process Automation; Cross-functional Program Management; Operational Efficiency Improvement; Customer Advocacy; Technology Implementation; Stakeholder Collaboration,"This role executes the customer experience and relations strategy for HSBC's Wealth and Personal Banking. It involves developing AI-powered capabilities and automation to improve CX, complaint management, and operational efficiency. The manager collaborates with cross-functional teams to drive change and business growth.",eightfold,mainstream,0,2025-11-05T01:25:26+00:00,https://portal.careers.hsbc.com/careers/job/563774608014479,1
HSBC Hong Kong,Manager WPB Process and Solutions (12-months) - HK Business,Manager WPB Process and Solutions (12-months) - HK Business,Operations,senior,on-site,"Kowloon City, Kowloon, Hong Kong",,,,60000,70000,medium,Retail banking; Process redesign; Release management; Data analytics; Governance and regulatory compliance; Project management; Stakeholder management; Incident handling; Operating model definition; Cost savings initiatives,"This role manages process and solutions for Wealth and Personal Banking at HSBC Hong Kong. Responsibilities include release management, data analytics, governance compliance, incident handling, and driving commercial outcomes. The position requires retail banking experience and strong understanding of frontline and operations processes.",eightfold,mainstream,0,2026-05-15T07:04:15+00:00,https://portal.careers.hsbc.com/careers/job/563774611033653,1
HSBC Hong Kong,"Manager, Acquisition (Cobrand Card) - Hang Seng Bank (HK)","Manager, Acquisition (Cobrand Card) - Hang Seng Bank (HK)",Other,mid,on-site,"Mongkok, Kowloon, Hong Kong",8,,,25000,50000,medium,Credit card product management; Campaign management; Data analysis; Partnership management; Marketing strategy; Customer segmentation; P&L management; Regulatory compliance; Risk control,Drives product-level P&L and KPIs for cobrand card acquisition. Proposes and implements marketing initiatives to grow customer base and card usage. Manages cobrand partner relationships and ensures regulatory compliance.,eightfold,mainstream,0,2026-07-02T13:44:46+00:00,https://portal.careers.hsbc.com/careers/job/563774611726850,1
HSBC Hong Kong,"Manager, Business Planning and Analysis","Manager, Business Planning and Analysis",Finance,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,17500,35000,medium,Financial analysis; Forecasting; Business performance analysis; Stakeholder management; Cross-functional collaboration; Balance sheet analysis; Margin analysis; Process improvement; Digital transformation; AI and machine learning,"Oversees business performance analysis and forecasting for Asia IWPB in partnership with finance and business teams. Acts as a trusted business partner, providing insights for decision-making. Drives process improvements and digital initiatives including AI adoption.",eightfold,mainstream,0,2026-07-07T02:03:35+00:00,https://portal.careers.hsbc.com/careers/job/563774611765386,1
HSBC Hong Kong,"Manager, Card Product & Acquisition (Core Card) - Hang Seng Bank (HK)","Manager, Card Product & Acquisition (Core Card) - Hang Seng Bank (HK)",Operations,mid,on-site,"Mongkok, Kowloon, Hong Kong",8,,,25000,50000,medium,credit card product strategy; marketing programme management; portfolio management; new product development; customer experience enhancement; budget management; financial analysis; stakeholder relationship management; presentation skills; problem solving,"Hang Seng Bank seeks a Manager for Card Product & Acquisition. The role involves formulating card product strategies, managing marketing programmes, and overseeing the credit card portfolio. The candidate needs a university degree and at least 8 years of credit card product management experience, including 2 years in a managerial grade.",eightfold,mainstream,0,2026-06-01T09:34:30+00:00,https://portal.careers.hsbc.com/careers/job/563774611283727,1
HSBC Hong Kong,"Manager, Card Products and Acquisition - Hang Seng Bank (HK)","Manager, Card Products and Acquisition - Hang Seng Bank (HK)",Operations,senior,on-site,"Mongkok, Kowloon, Hong Kong",8,,,25000,50000,medium,Credit card product management; Marketing programme implementation; Portfolio management; New product feature development; External partnership management; Marketing budget management; Financial analysis; Business acumen; Presentation skills,"Responsible for formulating credit card product strategies and marketing programmes to grow card portfolio. Manages card portfolio, develops new product features, maintains relationships with external partners, and manages marketing budget. Requires 8+ years of credit card product management experience.",eightfold,mainstream,0,2026-02-10T06:08:18+00:00,https://portal.careers.hsbc.com/careers/job/563774609597798,1
HSBC Hong Kong,"Manager, Commercial Banking Marketing","Manager, Commercial Banking Marketing",Marketing,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,45000,55000,medium,marketing strategy development; multi-channel campaign management; agency/vendor management; content development; performance reporting; stakeholder communication; marketing automation (Martech); tag management; paid media tracking; compliance with brand guidelines,"This role drives and formulates marketing strategies for commercial banking products and services, managing multi-channel campaigns from briefing to performance reporting. It involves leading stakeholder communications, leveraging Martech tools like marketing automation and paid media tracking, and ensuring marketing materials comply with brand guidelines and regulatory requirements.",eightfold,mainstream,0,2026-07-02T03:14:05+00:00,https://portal.careers.hsbc.com/careers/job/563774611702808,1
HSBC Hong Kong,"Manager, Complaint Governance and Insights","Manager, Complaint Governance and Insights",Operations,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,44000,50000,medium,complaints data management; data quality checks; reconciliation; root cause analysis; regulatory compliance; stakeholder management; executive reporting; Advanced Excel; PowerPoint; AI tools,"Manager role at HSBC focusing on complaint governance and insights. Responsibilities include data management, root cause analysis, generating MI for stakeholders, and maintaining complaint handling guidelines. Requires experience in complaints, governance, or analytics; insurance experience preferred.",eightfold,mainstream,1,2026-05-13T08:37:34+00:00,https://portal.careers.hsbc.com/careers/job/563774610997573,1
HSBC Hong Kong,"Manager, Corporate Sustainability - Hang Seng Bank (HK)","Manager, Corporate Sustainability - Hang Seng Bank (HK)",Other,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,45000,66000,medium,ESG strategy; Net zero transition; Sustainable finance; Decarbonization strategies; Stakeholder management; Market analysis; Policy analysis; Partnership development; Governance reporting; Client engagement,"The Manager, Corporate Sustainability at Hang Seng Bank supports the implementation of ESG strategy and the net zero transition. Responsibilities include tracking sustainability performance, facilitating sustainable finance transactions, and analyzing market trends. The role also involves coordinating decarbonization strategies and engaging with internal teams.",eightfold,mainstream,0,2026-05-18T06:12:09+00:00,https://portal.careers.hsbc.com/careers/job/563774611054594,1
HSBC Hong Kong,"Manager, Customer Relations - Hang Seng Bank (HK)","Manager, Customer Relations",Operations,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,11500,23000,medium,Customer complaints handling; Retail banking products; Insurance products; Investment products; Regulatory compliance; Investigation; Complaint resolution; Report writing; Stakeholder management,"The role manages customer complaints for retail banking, insurance, and investment products. It involves investigating complaints, liaising with regulators, and proposing resolutions. The manager prepares reports and communicates responses to customers.",eightfold,mainstream,0,2026-06-15T03:54:44+00:00,https://portal.careers.hsbc.com/careers/job/563774611488825,1
HSBC Hong Kong,"Manager, Fund Administration (AVP), Markets & Securities Services","Manager, Fund Administration (AVP), Markets & Securities Services",Operations,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,18500,37000,medium,Fund Administration; Fund Accounting; Portfolio Valuation; Custody Operations; Client Service; Team Leadership; Audit Procedures; Process Improvement; Project Management; Financial Reporting,"Manage a small team in fund administration, ensuring client service and compliance. Oversee portfolio accounting, valuation, reporting, and audit procedures. Lead process improvements and maintain relationships with internal departments.",eightfold,mainstream,0,2026-07-06T02:41:58+00:00,https://portal.careers.hsbc.com/careers/job/563774611751791,1
HSBC Hong Kong,"Manager, Funds and Discretionary Services - Private Banking Operations","Manager, Funds and Discretionary Services - Private Banking Operations",Operations,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,33000,37000,medium,Discretionary Mandate Services; Fund Transfer Operations; Fee Booking; Trailer/Placement Fee Handling; Reconciliation; Customer Service; Team Supervision; Process Improvement; Project Management; Operational Incident Reporting,"Oversee discretionary mandate and fund transfer operations for private banking, including fee booking, reconciliation, and customer service. Supervise team, drive process improvements, and handle incident investigations. Requires knowledge of banking products and strong analytical skills.",eightfold,mainstream,0,2026-07-09T02:21:01+00:00,https://portal.careers.hsbc.com/careers/job/563774611794309,1
HSBC Hong Kong,"Manager, Investment and Insurance Sales, Corporate Banking - Hang Seng Bank (HK)","Manager, Investment and Insurance Sales, Corporate Banking",Sales,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,33000,50000,medium,Corporate Lending; Trade Finance; Cash Management; Investment Products; Insurance Products; e-Banking; Relationship Management; Sales; Customer Service,Manager responsible for identifying sales opportunities and selling investment and insurance products to corporate customers. Role involves direct customer contact and providing quality services to strengthen client relationships.,eightfold,mainstream,0,2026-01-28T01:42:20+00:00,https://portal.careers.hsbc.com/careers/job/563774609441388,1
HSBC Hong Kong,"Manager, Liabilities and Secured Lending - Hang Seng Bank (HK)","Manager, Liabilities and Secured Lending",Operations,mid,on-site,"Mongkok, Kowloon, Hong Kong",5,,,25000,50000,medium,Premium financing; Secured lending; Business process workflow optimization; Cross-departmental collaboration; Market trend analysis; Product development and management; Lending product knowledge; Regulatory compliance; Product governance documentation,"The manager will design and manage premium financing and secured lending products, conduct business process reviews, collaborate with internal departments, monitor market trends, and ensure regulatory compliance. The role requires at least five years of personal banking experience.",eightfold,mainstream,0,2026-06-16T08:29:53+00:00,https://portal.careers.hsbc.com/careers/job/563774611503763,1
HSBC Hong Kong,"Manager, Life Operations Initiatives","Manager, Life Operations Initiatives",Operations,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,35000,45000,medium,Life policy administration; Insurance operations; Business operations management; Quality assurance; Continuous improvement; Analytical skills; Root cause analysis; Regulatory compliance; People management; Stakeholder communication,"Manager overseeing life policy administration and operations initiatives at HSBC. Responsibilities include process efficiency, quality assurance, system improvement, outsourcing oversight, and regulatory compliance. Requires experience in life policy administration and strong analytical and communication skills.",eightfold,mainstream,0,2026-06-24T06:28:12+00:00,https://portal.careers.hsbc.com/careers/job/563774611624054,1
HSBC Hong Kong,"Manager, Local Payment - Hang Seng Bank (HK)","Manager, Local Payment - Hang Seng Bank (HK)",Operations,mid,on-site,"Mongkok, Kowloon, Hong Kong",7,,,25000,50000,medium,Retail payments; Product strategy; Digital payment journey; Stakeholder management; Product lifecycle management; Compliance; Market analysis; Business proposal writing,"Manages local retail payment initiatives, including product strategy, lifecycle management, and stakeholder coordination. Drives digital payment adoption and customer engagement. Monitors market trends and prepares strategy reports for senior management.",eightfold,mainstream,0,2026-05-18T09:38:45+00:00,https://portal.careers.hsbc.com/careers/job/563774611055938,1
HSBC Hong Kong,"Manager, Medical Claims Analytics & Gen AI Enablement","Manager, Medical Claims Analytics & Gen AI Enablement",Operations,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,45000,53000,medium,"Data Analytics; Fraud Waste & Abuse (FWA) Detection; QlikView; Power BI; Python; Excel (Pivot tables, macros); Machine Learning; Generative AI; Large Language Models; Management Reporting","Leads data-driven fraud, waste, and abuse detection for medical claims using advanced analytics. Creates dashboards with QlikView and Power BI, and champions AI automation. Collaborates with business and technology teams to implement machine learning and generative AI solutions.",eightfold,mainstream,0,2026-04-30T01:40:03+00:00,https://portal.careers.hsbc.com/careers/job/563774610847233,1
HSBC Hong Kong,"Manager, Portfolio Management - Hang Seng Bank (HK)","Manager, Portfolio Management - Hang Seng Bank (HK)",Other,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,25000,50000,medium,Personal loan acquisition; Business strategy formulation; Marketing and sales channel management; Revenue modeling and pricing; Digital innovation and journey design; Stakeholder management; Regulatory compliance; Unsecured lending products; Project management,"Manages personal loan and card loan acquisition and marketing strategies. Develops revenue models, digital innovations, and customer journey improvements. Coordinates with stakeholders and ensures regulatory compliance.",eightfold,mainstream,0,2025-12-19T02:23:32+00:00,https://portal.careers.hsbc.com/careers/job/563774609071324,1
HSBC Hong Kong,"Manager, Product Development and Management","Manager, Product Development and Management",Finance,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,50000,70000,medium,life insurance product development; stakeholder management; market research; customer research; product collaterals creation; marketing materials development; project management; communication skills; team collaboration; multitasking,"This role manages the development of life insurance products across various distribution channels. Responsibilities include coordinating stakeholders, creating product collaterals, conducting market research, and ensuring timely delivery. Candidates need relevant financial services experience and strong communication skills.",eightfold,mainstream,0,2026-04-22T07:07:28+00:00,https://portal.careers.hsbc.com/careers/job/563774610759598,1
HSBC Hong Kong,"Manager, Product Proposition and Marketing - Hang Seng Insurance - Hang Seng Bank (HK)","Manager, Product Proposition and Marketing - Hang Seng Insurance - Hang Seng Bank (HK)",Insurance,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,55000,58000,medium,product marketing; product development; regulatory compliance (IA/HKMA); digital content management; project management; stakeholder management; insurance product knowledge; bancassurance,"Manage product proposition and marketing for life insurance products at Hang Seng Bank. Responsibilities include product launches, collateral development, regulatory compliance with IA and HKMA, and digital content management.",eightfold,mainstream,0,2026-07-14T07:25:44+00:00,https://portal.careers.hsbc.com/careers/job/563774611863441,1
HSBC Hong Kong,"Manager, Retail Banking (Sales) - Hang Seng Bank (HK)","Manager, Retail Banking (Sales) - Hang Seng Bank (HK)",Sales,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,27500,55000,medium,Retail banking product management; Sales target achievement; Team leadership and performance management; Compliance and regulatory guidelines; Vendor management; Roadshow operations management; Business acumen; Communication skills; Presentation skills; Problem-solving skills,"Manager responsible for leading a retail banking sales team to achieve targets via branches and roadshows. Duties include team performance management, vendor coordination, compliance oversight, and operational management. Requires a university degree and at least three years of managerial experience in retail banking product management.",eightfold,mainstream,0,2025-12-15T09:01:27+00:00,https://portal.careers.hsbc.com/careers/job/563774609001315,1
HSBC Hong Kong,"Manager, Sustainable Finance","Manager, Sustainable Finance",Finance,mid,on-site,"Central, Hong Kong Island, Hong Kong",,,,25000,50000,low,Sustainable Finance; ESG Integration; Client Relationship Management; Thought Leadership; Project Management; Marketing & Communication; Risk Management; Financial Analysis,"This role supports the sustainability and transition coverage of clients at HSBC, working with coverage and product teams. Responsibilities include developing sustainability content, engaging clients on transition planning, and originating sustainable finance deals. The role also coordinates with internal teams and supports marketing and communication efforts.",eightfold,mainstream,0,2026-07-10T04:22:47+00:00,https://portal.careers.hsbc.com/careers/job/563774611810419,1
HSBC Hong Kong,"Manager, Wealth Management Marketing","Manager, Wealth Management Marketing",Marketing,mid,on-site,"Mongkok, Kowloon, Hong Kong",,,,45000,55000,medium,Marketing Strategy; Wealth Management Product Knowledge; Multi-Channel Campaign Management; Stakeholder Management; Product Maintenance; Adtech/Martech Tools; Web/App Analytics; Marketing Automation/CRM; Audience Segmentation; A/B Testing,"Manager responsible for developing and executing marketing strategies for wealth management products, managing multi-channel campaigns, and leading stakeholder communications. Utilizes Adtech and Martech tools for campaign optimization and measurement.",eightfold,mainstream,0,2026-06-08T07:00:20+00:00,https://portal.careers.hsbc.com/careers/job/563774611415765,1
HSBC Hong Kong,"Mobile Insurance Specialist - Hong Kong Business 財務策劃副總裁 , 财富管理及个人银行业务",Mobile Insurance Specialist - Hong Kong Business,Sales,senior,on-site,"Kowloon City, Kowloon, Hong Kong",,,,25000,35000,medium,Insurance sales; Customer relationship management; Insurance portfolio management; Needs analysis; Solution recommendation; Application processing; Customer retention; Analytical skills; Premier banking; Cross-team collaboration,"The Mobile Insurance Specialist identifies and captures insurance business opportunities for HSBC's Premier customers in Hong Kong. Responsibilities include managing insurance portfolios, providing end-to-end service, and offering specialist advice on insurance solutions. The role involves building relationships and collaborating with branch teams.",eightfold,mainstream,0,2025-10-17T07:50:29+00:00,https://portal.careers.hsbc.com/careers/job/563774607744853,1
HSBC Hong Kong,Mortgage Service Officer / Senior Mortgage Service Officer - Hong Kong Business,Mortgage Service Officer / Senior Mortgage Service Officer - Hong Kong Business,Finance,mid,on-site,"Kowloon City, Kowloon, Hong Kong",,,,30000,45000,medium,Mortgage processing; Customer relationship management; Loan documentation; Compliance; Regulatory requirements; Cross-selling; Sales support; Communication; Team collaboration,Supports end-to-end mortgage processing and customer servicing. Identifies cross-selling opportunities for protection and financial products. Ensures compliance with bank policies and regulatory requirements.,eightfold,mainstream,0,2025-10-17T07:41:56+00:00,https://portal.careers.hsbc.com/careers/job/563774607744656,1
HSBC Hong Kong,Mortgage Specialist / Senior Mortgage Specialist -Hong Kong Business,Mortgage Specialist / Senior Mortgage Specialist -Hong Kong Business,Sales,mid,on-site,"Shatin, New Territories, Hong Kong",,,,25000,30000,medium,Mortgage sales; Intermediary relationship management; Mortgage application processing; Customer service; Fulfillment process management; Drawdown ratio improvement; Turnaround time optimization; Collaboration with operations teams,"The Mortgage Specialist acquires mortgage sales from intermediaries such as property developers and brokers, handles referrals, meets customers to process applications, and collaborates with the Mortgage Sales Centre to ensure service standards and timely fulfillment.",eightfold,mainstream,0,2025-10-17T08:11:33+00:00,https://portal.careers.hsbc.com/careers/job/563774607744878,1
HSBC Hong Kong,Network Manager - Hang Seng Bank (HK),Network Manager - Hang Seng Bank (HK),Engineering,senior,on-site,"Mongkok, Kowloon, Hong Kong",,,,55000,70000,medium,Low-latency networking; Data center networking; Network design; Network deployment; Network maintenance; Network operations; Network performance monitoring; Troubleshooting; Project management; Agile methodology,"Hang Seng Bank seeks a Network Manager to design, build, and maintain low-latency network infrastructure for banking applications. Responsibilities include leading network projects, monitoring performance, and troubleshooting issues to ensure high availability.",eightfold,mainstream,0,2026-07-07T02:12:53+00:00,https://portal.careers.hsbc.com/careers/job/563774611765389,1
HSBC Hong Kong,"Officer, ORSO Administration","Officer, ORSO Administration",Operations,junior,on-site,"Kowloon City, Kowloon, Hong Kong",,,,20000,25000,medium,ORSO administration; regulatory reporting; scheme administration; financial analysis; MPFA communication; Microsoft Office; Chinese typing; bilingual communication; interpersonal skills; problem-solving,"Assist in regulatory reporting and scheme administration for ORSO products, support financial year-end process, and communicate with regulator MPFA. Requires knowledge of ORSO administration, proficiency in Microsoft Office, and language skills in English, Cantonese, and Putonghua.",eightfold,mainstream,1,2026-07-22T08:01:19+00:00,https://portal.careers.hsbc.com/careers/job/563774611994700,1
HSBC Hong Kong,"Officer, ORSO Administration","Officer, ORSO Administration",Operations,junior,on-site,"Kowloon City, Kowloon",,,,19000,23000,low,ORSO Administration; Pension Fund Administration; Regulatory Compliance; Data Management,,indeed,mainstream,1,2026-07-23T05:00:00+00:00,https://portal.careers.hsbc.com/careers/job/563774611994700,1
HSBC Hong Kong,"Officer, Wealth","Officer, Wealth",Operations,junior,on-site,"Kowloon City, Kowloon, Hong Kong",,,,19000,23000,medium,corporate actions operations; SLA management; team leadership; performance management; resource allocation; offshore team coordination; customer service; tax filing; process improvement; training and coaching,"Supervise a team processing corporate actions for wealth management, ensuring SLA and SOS compliance. Manage team performance, resource allocation, and offshore coordination. Handle customer service and assist with tax filing and client complaints.",eightfold,mainstream,1,2026-04-21T06:55:52+00:00,https://portal.careers.hsbc.com/careers/job/563774610742386,1
HSBC Hong Kong,"Officer, Wealth","Officer, Wealth",Operations,junior,on-site,"Kowloon City, Kowloon, Hong Kong",,,,33000,40000,medium,Corporate actions; Team supervision; Performance management; Service level agreement (SLA) management; Customer service; Tax filing; Operational risk; Resource allocation; Process improvement; Offshore team coordination,"Supervise a team handling corporate actions for wealth management, ensuring SLA compliance. Manage performance, training, and resource allocation. Assist with tax filing and client complaints, and monitor offshore team.",eightfold,mainstream,1,2026-03-26T07:16:31+00:00,https://portal.careers.hsbc.com/careers/job/563774610742386,1
HSBC Hong Kong,"Officer, Wealth","Officer, Wealth",Finance,junior,on-site,Hong Kong,,,,33000,40000,low,Wealth Management; Client Relationship Management; Investment Products; Financial Planning; Compliance,,indeed,mainstream,1,2026-07-24T05:00:00+00:00,https://portal.careers.hsbc.com/careers/job/563774610742386,1
HSBC Hong Kong,One Insurance Specialist,One Insurance Specialist,Sales,mid,on-site,Hong Kong,,,,25000,30000,medium,"Sales; Customer relationship management; Insurance Intermediaries Qualifying Examination (Paper 1, 3); Compliance awareness; Credit and customer due diligence; Business development; Communication (English, Chinese, Mandarin); Problem solving; Team collaboration; Project implementation","HSBC seeks an Insurance Specialist to build and maintain customer relationships, communicate products, and support sales strategies. The role requires a degree, sales experience, insurance qualifications (Paper 1,3), and strong communication skills in English, Chinese, and Mandarin.",indeed,mainstream,1,2026-07-14T05:00:00+00:00,https://portal.careers.hsbc.com/careers/job/563774609620236,1
HSBC Hong Kong,One Insurance Specialist,One Insurance Specialist,Finance,mid,on-site,Hong Kong,,,,40500,66500,low,Insurance Products; Risk Assessment; Client Relationship Management; Regulatory Compliance; Sales,,indeed,mainstream,1,2026-07-25T05:00:00+00:00,https://portal.careers.hsbc.com/careers/job/563774609620236,1
HSBC Hong Kong,"Operation Assistant, Main Treasury","Operation Assistant, Main Treasury",Operations,junior,on-site,"Kowloon Bay, Kowloon, Hong Kong",,,,15000,17000,medium,cash handling; vault management; cash counting; data entry; basic computer skills; customer service; interpersonal skills; transaction processing; administrative support,"Processes bulk cash deposits and withdrawals, prepares cash consignments for branches, and manages handover of cash boxes. Handles administrative tasks and ensures accurate data entry. Requires Form 5 education and relevant cash-handling experience.",eightfold,mainstream,1,2026-06-24T02:21:14+00:00,https://portal.careers.hsbc.com/careers/job/563774611616756,1
